,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
63,ziruma Sala Artistica,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Restaurante
    Menores

Ideal para ir con niños",4.8,307.0,,Teatro,No accesible con silla de ruedas,"9 .,9 pm.",,Comuna Villa Hermosa Teatros,42843462 ,"Cl. 64 #39-18, Medellín, Villa Hermosa, Medellín, Antioquia",6.255337,-75.5530488
64,Jardín Infantil El Pinal,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas",4.8,5.0,,Escuela,Accesible con silla de ruedas,,,Comuna Villa Hermosa Jardines,2167706 ,"Cl. 57 #26b-71, Medellín, Villa Hermosa, Medellín, Antioquia",6.246254,-75.5476409
65,Jardin Buen Comienzo La Libertad,,,,,Jardín de infancia,,,,Comuna Villa Hermosa Jardines,,"Medellín, Villa Hermosa, Medellín, Antioquia",6.2422002,-75.5442687
66,Jardín Infantil María Auxiliadora,"Reseñas
5
4
3
2
1
4,0
1 reseña
  
Escribir una reseña
  

Ordenar",4.0,1.0,,Guardería,,,,Comuna Villa Hermosa Jardines,,"Cra. 10 #5244, Villatina, Medellín, Villa Hermosa, Medellín, Antioquia",6.2336975,-75.537503
67,Jardín Infantil Mis Pequeños Ángeles,,,,,Guardería,,,,Comuna Villa Hermosa Jardines,42213967 ,"Cra. 8a #5220, Las Estancias, Medellín, Villa Hermosa, Medellín, Antioquia",6.2325411,-75.5366049
68,Hogar Infantil Golosinas,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas",4.5,13.0,,Jardín de infancia,Accesible con silla de ruedas,,,Comuna Villa Hermosa Jardines,42542842 ,"Cl. 65aa #42103 #42- a, Medellín, Villa Hermosa, Medellín, Antioquia",6.2584463,-75.5549723
69,Jardines de La Mansión,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños",4.5,2.0,,Parque local,Accesible con silla de ruedas,"6 .,6 .",http://www.medellin.gov.co/,Comuna Villa Hermosa Jardines,,"Cl. 63B #43-09, Medellín, Villa Hermosa, Medellín, Antioquia",6.257173,-75.5567765
70,GUARDERIA BUEN COMIENZO,,,,,Jardín de infancia,,,,Comuna Villa Hermosa Jardines,,"CR 26BE, Cl. 56d #29, San Antonio, Medellín, Villa Hermosa, Medellín, Antioquia",6.2407782,-75.5395827
71,Casa Museo Salvador Arango,"Información  Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",5.0,1.0,,Museo,,,,Comuna Villa Hermosa Museos,313 6929385 ,"Cl. 57c #24-105, Medellín, Villa Hermosa, Medellín, Antioquia",6.2482933,-75.5458747
72,Museo de Ciencias Naturales de La Salle,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario
    Menores

Ideal para ir con niños",4.8,230.0,,Museo,Accesible con silla de ruedas,,http://museo.itm.edu.co/,Comuna Villa Hermosa Museos,01-800-0180140 ,"Cl. 54a #301, Medellín, Villa Hermosa, Medellín, Antioquia",6.2454354,-75.5505994
73,Biblioteca Familia,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Sanitario

Restaurante
    Menores

Ideal para ir con niños",4.2,36.0,,Museo,No accesible con silla de ruedas,,http://www.ratondebiblioteca.com/#!villatina/c1gn4,Comuna Villa Hermosa Museos,42691021 ,"Cra. 16 #5648 56- a, San Antonio, Medellín, Villa Hermosa, Medellín, Antioquia",6.2384871,-75.5393357
74,Museo de Antioquia,"Información  Muestra de arte histórico con artistas nacionales como Fernando Botero y Pedro Nel Gómez y más.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Servicios

Restaurante

Sanitario
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento pagado

Garage de estacionamiento pagado",4.7,8361.0,,Museo de arte,Accesible con silla de ruedas,"12 pm.,6 pm.",https://museodeantioquia.co/,Comuna Villa Hermosa Museos,(604) 2513636 ,"Cl. 52 #52-43, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2524227,-75.5691311
75,Museo Casa de la Memoria,"Información  Museo solemne con exposiciones en las que ofrecen diversas perspectivas de las guerras y los conflictos armados de Colombia.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Alquiler de sillas de ruedas
    Aspectos destacados

Presentaciones en vivo
    Servicios

Sanitario

Wi-Fi

Tiene Wi-Fi gratis

Restaurante
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Recomendable para ir en familia
    Menores

Ideal para ir con niños",4.6,6251.0,,Museo,Accesible con silla de ruedas,"12 pm.,6 pm.",https://www.museocasadelamemoria.gov.co/,Comuna Villa Hermosa Museos,(604) 5202020 ,"Parque Bicentenario, Cl. 51 #36-66, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2459273,-75.5566562
76,Parque Villa Hermosa,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.6,79.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques temático,,"Cl 66 #39A-66, Medellín, Villa Hermosa, Medellín, Antioquia",6.258808,-75.5521651
77,Parque Recreativo la Estrechura,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños",5.0,1.0,,Parque,Accesible con silla de ruedas,"6 .,9 pm.",,Comuna Villa Hermosa Parques temático,,"Caicedo, Medellín, Villa Hermosa, Medellín, Antioquia",6.2383874,-75.5444169
78,Gimnasio Sportlife Villa Hermosa,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero
    Mascotas

Se permiten perros",4.5,3788.0,,Parque,No accesible con silla de ruedas,"9 .,3 pm.",https://www.facebook.com/SportlifeXtreme,Comuna Villa Hermosa Parques temático,301 7177131 ,"Cl 66 #39a -67, Medellín, Villa Hermosa, Medellín, Antioquia",6.258665,-75.5523566
79,Parque villa hermosa,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Retiro en tienda

Para llevar

Consumo en el lugar

Entrega el mismo día",4.4,35.0,$ 10.000-20.000,Panadería,Accesible con silla de ruedas,,,Comuna Villa Hermosa Parques temático,,"Cra. 37 #63-67, Medellín, Villa Hermosa, Medellín, Antioquia",6.2540327,-75.5528819
80,Parque de Bolívar,"Información  Parque adyacente a la Catedral Metropolitana con una fuente y estatua del libertador Simón Bolívar.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar
    Servicios

Sanitario público
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.1,12594.0,,Parque local,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques temático,,"Cra. 49 #5596, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2529003,-75.5645992
81,Amcudigitalestilo,,,,,Centro comercial,,,,Comuna Villa Hermosa Centros comerciales,314 7428046 ,"Medellín, Villa Hermosa, Medellín, Antioquia",6.2506928,-75.5425687
82,PIDALO PUES,"Reseñas
5
4
3
2
1
5,0
1 reseña
  
Escribir una reseña
  

Ordenar",5.0,1.0,,Centro comercial,,"6 .,6 pm.",,Comuna Villa Hermosa Centros comerciales,304 6400483 ,"Cra 39A #65, Medellín, Villa Hermosa, Medellín, Antioquia",6.2573224,-75.5522224
83,Facilitamos,,,,,Centro comercial,,,,Comuna Villa Hermosa Centros comerciales,313 7765906 ,"Centro Comercial Unión, Local 212, Medellín, Villa Hermosa, Medellín, Antioquia",6.2559639,-75.5597189
84,Centro Comercial San Diego,"Información  Plaza comercial local inaugurada en 1972, con zona cubierta y al aire libre, además de tiendas y cafés.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Compras en tienda

Servicios en el lugar
    Qué ofrece

Juegos de arcade
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito",4.6,38253.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",http://www.sandiego.com.co/,Comuna Villa Hermosa Centros comerciales,(604) 4480624 ,"Cl. 33 #42B-06, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2350953,-75.5692213
85,Variedades La Terminal,"Reseñas
5
4
3
2
1
3,8
26 reseñas
  
Escribir una reseña
  

Ordenar",3.8,26.0,,Centro comercial,,,,Comuna Villa Hermosa Centros comerciales,,"#54a-35 a, Cra. 9 #54a75, Medellín, Antioquia",6.2342884,-75.5357788
86,Centro Comercial Villanueva,"Información  Centro comercial en un edificio histórico con tiendas de artículos católicos y un patio con cafetería.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Servicios en el lugar",4.2,6139.0,,Centro comercial,Accesible con silla de ruedas,"9 .,9 pm.",https://centrocomercialvillanueva.co/,Comuna Villa Hermosa Centros comerciales,(604) 2510365 ,"Cl. 57 #49-44, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2553897,-75.5641396
87,"Medellín, el Pinal","Reseñas
5
4
3
2
1
4,3
70 reseñas
  
Escribir una reseña
  

Ordenar",4.3,70.0,,Centro comercial,,,,Comuna Villa Hermosa Centros comerciales,,"#26aa-2,, Cl. 56e, Medellín, Antioquia",6.2465089,-75.5460688
88,Parque Villa Hermosa,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.6,79.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques de atracciones,,"Cl 66 #39A-66, Medellín, Villa Hermosa, Medellín, Antioquia",6.258808,-75.5521651
89,Parque Estación EL PINAL,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.5,167.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques de atracciones,,"13 de Noviembre, Medellín, Villa Hermosa, Medellín, Antioquia",6.2455484,-75.5441396
90,Parque Recreativo la Estrechura,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños",5.0,1.0,,Parque,Accesible con silla de ruedas,"6 .,9 pm.",,Comuna Villa Hermosa Parques de atracciones,,"Caicedo, Medellín, Villa Hermosa, Medellín, Antioquia",6.2383874,-75.5444169
91,parque recreativo Sucre,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños",3.9,11.0,,Parque,Accesible con silla de ruedas,"6 .,6 pm.",,Comuna Villa Hermosa Parques de atracciones,,"Medellín, Villa Hermosa, Medellín, Antioquia",6.2460827,-75.5520084
92,Parque Eco-Productivo El Hueco,"Información  Menores

Ideal para ir con niños",5.0,1.0,,Parque,,"6 .,9 .",,Comuna Villa Hermosa Parques de atracciones,,"Puente Parque Bicentenario #5320, Medellín, Villa Hermosa, Medellín, Antioquia",6.2461157,-75.555473
93,Chorritos EPM,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Servicios

Sanitario
    Menores

Ideal para ir con niños",4.7,3.0,,Parque acuático,Accesible con silla de ruedas,"12 .,3 .",,Comuna Villa Hermosa Parques acuaticos,,"Cl. 32 #N° 50-51, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2336676,-75.5751698
94,Parque de Toboganes,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Columpios

Parrilla para barbacoa

Sanitario público

Toboganes
    Menores

Área de juegos

Ideal para ir con niños

Rutas de senderismo adecuadas para niños
    Mascotas

Parque para perros

Se permiten perros",4.5,187.0,,Parque,Accesible con silla de ruedas,,,Comuna Villa Hermosa Parques acuaticos,,"Medellín, Belén, Medellín, Antioquia",6.2379811,-75.580506
95,Parque de San Joaquín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.2,73.0,,Parque,Accesible con silla de ruedas,"6 .,6 .",,Comuna Villa Hermosa Parques acuaticos,,"Cra. 68 #1-81, Laureles - Estadio, San Joaquin, Medellín, Laureles, Medellín, Antioquia",6.2441619,-75.5877503
96,Parque Villa Hermosa,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.6,79.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques acuaticos,,"Cl 66 #39A-66, Medellín, Villa Hermosa, Medellín, Antioquia",6.258808,-75.5521651
97,Pared De Agua,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Servicios

Área para patinetas

Cancha de básquetbol

Columpios
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.3,1133.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Villa Hermosa Parques acuaticos,,"Cl 42 #10557, San Javier, Medellín, San Javier, Medellín, Antioquia",6.25549,-75.620066
98,Restaurante El Refugio del Sabor,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,2.0,,Restaurante,,,,Comuna Buenos Aires Restaurantes,42273777 ,"Cl. 41 #19, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2354514,-75.5561218
99,Restaurante Purto Sabor,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Café
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,1.0,,Restaurante,,,,Comuna Buenos Aires Restaurantes,,"Cl. 45 #3144, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2385706,-75.5552893
100,La parada del sabor,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos
    Opciones del local

Almuerzo

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,2.0,,Restaurante,,,,Comuna Buenos Aires Restaurantes,,"Cra. 29 #40 21, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.234454,-75.5554191
101,Restaurante Donde Libo,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Café
    Opciones del local

Desayunos

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas",4.7,25.0,,Restaurante,No accesible con silla de ruedas,,,Comuna Buenos Aires Restaurantes,,"Cra. 33 #48-02, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2412403,-75.5553682
102,Pimiento Rojo (sazón y sabor),"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,2.0,,Restaurante,,,http://pimientorojo.odoo.com/,Comuna Buenos Aires Restaurantes,305 3331788 ,"Cl. 41 #30-58, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2357303,-75.5562824
103,El Gourmetto,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",,,,Restaurante,,,,Comuna Buenos Aires Restaurantes,313 2149125 ,"Cra. 30 #43-30, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2370282,-75.5548223
104,Asados Su Rancho,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.5,20.0,,Restaurante,,"12 pm.,6 .",,Comuna Buenos Aires Restaurantes,(604) 2212383 ,"Cra. 31 #41-1 41-103 a, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2361744,-75.5563595
105,Restaurante Barril Brasas,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Opciones del local

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.9,7.0,,Restaurante,,,,Comuna Buenos Aires Restaurantes,317 4413414 ,"Cra. 30 #46-40, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2386429,-75.5539082
106,Restaurante El Balcón Paisa,"Información  Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Café

Cerveza
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.5,22.0,,Restaurante,,"9 .,9 pm.",,Comuna Buenos Aires Restaurantes,42274654 ,"Cra. 31 #26, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2350977,-75.5567866
107,Restaurante Berriondo Cocina,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos
    Opciones del local

Almuerzo

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.8,22.0,,Restaurante,,,,Comuna Buenos Aires Restaurantes,312 7164922 ,"Cl. 41 #30-58, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2357459,-75.5562776
108,Hotel Buenos Aires Central,"Reseñas
5
4
3
2
1
3,8
26 reseñas
  
Escribir una reseña
  

Ordenar
Todas
bares
4
jacuzzi
3
ladrones
2
tranvía
2
la verdad
2
sentido
2
fría
2
ducha
2",3.8,26.0,,,,,,Comuna Buenos Aires Hoteles,(604) 5385940 ,"Cra. 34 #CL 48 - 106, Caicedo, Medellín, Buenos Aires, Medellín, Antioquia",6.2422875,-75.555888
109,Ayenda 1231 Paradise Center,"Información  Este hotel sin pretensiones se encuentra en una calle comercial, a un minuto a pie de la parada de tranvía más cercana, a 2 km de la plaza Botero, a 3 km de la estación de tren Cisneros y a 4 km del Museo de Arte Moderno de Medellín.
Las habitaciones y suites tranquilas, con paredes de ladrillo visto o murales coloridos, cuentan con aire acondicionado, televisión, mininevera y baño en suite. Algunas habitaciones incluyen bañeras de hidromasaje.
Las comodidades incluyen Wi-Fi y recepción abierta las 24 horas.
  
Wi-Fi gratis

Desayuno incluido

Estacionamiento

Piscina

Se permiten mascotas

Restaurante

Gimnasio

Libre de humo
 ",3.7,223.0,Hotel de 2 estrellas,,,,https://ayenda.com/co/hoteles/medellin/ayenda-1231-paradise-center?utm_source=google_business&utm_medium=organic,Comuna Buenos Aires Hoteles,(604) 2170840 ,"Cl. 49 #N° 36 - 118, Medellín, Buenos Aires, Medellín, Antioquia",6.2435858,-75.5578498
110,Hospedaje format one,"Reseñas
5
4
3
2
1
5,0
5 reseñas
  
Escribir una reseña
  

Ordenar",5.0,5.0,,,,,,Comuna Buenos Aires Hoteles,324 2725106 ,"Calle 48 #29-53, Caicedo, Buenos Aires, Medellín, Antioquia",6.2396955,-75.5528639
111,Gallery Hotel Medellín,"Información  
Wi-Fi gratis

Desayuno incluido

Accesible

Piscina

Aire acondicionado

Servicio de lavandería

Centro de negocios

Se permiten mascotas

Apto para niños

Restaurante

Transporte desde/hacia el aeropuerto

Jacuzzi

Gimnasio

Bar

Libre de humo
 ",4.0,608.0,Hotel de 4 estrellas,,,,https://www.galleryhotel.co/,Comuna Buenos Aires Hoteles,315 2234483 ,"Cl. 47 #41-55, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2437756,-75.5631796
112,Hotel el deportista,"Información  Este hotel sencillo ubicado en una calle lateral cerca de restaurantes y cafeterías informales está a 7 minutos a pie de la estación de metro San Antonio y a 15 minutos a pie de esculturas al aire libre de la plaza Botero.
Las habitaciones sencillas con una decoración colorida tienen Wi-Fi gratis, TV de pantalla plana y baño en suite con agua fría. Algunas tienen literas. Las habitaciones mejoradas incluyen baño con agua caliente. Las habitaciones familiares tienen capacidad para 5 huéspedes. Los apartamentos con sala de estar disponen de cocina integrada y lavadora/secadora.
Los servicios incluyen un salón informal, un patio cubierto y un vestíbulo sencillo que ofrece café y té.
  
Wi-Fi gratis

Desayuno

Estacionamiento pago

Accesible

Piscina

Aire acondicionado

Servicio de lavandería

Centro de negocios

Se permiten mascotas

Apto para niños

Restaurante

Transporte desde/hacia el aeropuerto

Gimnasio

Bar

Libre de humo
 ",4.1,399.0,Hotel de 2 estrellas,,,,https://www.hoteleldeportista.com/,Comuna Buenos Aires Hoteles,321 7790955 ,"Calle 46 #43-98 Maturin con Girardot, Medellín, Antioquia",6.2442739,-75.5654165
113,3H hotel centro histórico,"Información  Este hotel tranquilo ubicado en el centro de la ciudad está a 4 km del extenso parque natural Cerro El Volador. También se encuentra a 5 km del mirador de Pueblito Paisa y a 7 minutos a pie de la estación de tren San Antonio.
Las habitaciones luminosas tienen murales llamativos, acceso a Wi-Fi, TV de pantalla plana, minibar y ventilador; no hay aire acondicionado. Algunas habitaciones disponen de bañera con hidromasaje.
  
Wi-Fi gratis

Desayuno

Estacionamiento gratuito

Piscina

Se permiten mascotas

Apto para niños

Restaurante

Gimnasio
 ",4.0,725.0,Hotel de 3 estrellas,,,,https://ayenda.com/co/hoteles/medellin/ayenda-1246-3h?utm_source=google_business&utm_medium=organic,Comuna Buenos Aires Hoteles,350 3189890 ,"Cra. 44 # 47-39, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.245467,-75.5654239
114,La GrutaColiving,"Información  
Wi-Fi gratis

Desayuno incluido

Piscina

Cocina en algunas habitaciones

Gimnasio
 ",4.8,39.0,,,,,,Comuna Buenos Aires Hoteles,316 0405515 ,"Cra. 41 #47-54, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2440609,-75.5622868
115,Tranvía 40,"Reseñas
5
4
3
2
1
4,7
27 reseñas
  
Escribir una reseña
  

Ordenar
Todas
pendientes
2
anfitriones
2
turísticos
2",4.7,27.0,Hotel de 3 estrellas,,,,https://www.amobladosvelasquez.com/,Comuna Buenos Aires Hoteles,319 2722460 ,"Cra. 40 #46-69, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2428074,-75.5622628
116,Hotel Medellín Kapital,"Información  Este hotel económico y sencillo ubicado en una calle comercial concurrida está a 11 minutos a pie del parque de Berrío y a 15 minutos a pie de las exhibiciones del Museo de Antioquia. También se encuentra a 8 minutos a pie de la estación de tren San Antonio.
Las habitaciones (algunas con balcón) tienen mobiliario sencillo, TV y ventilador. Se ofrece servicio a la habitación.
Los servicios incluyen un salón informal, un restaurante y espacio para eventos y reuniones. También hay una lavandería autoservicio.
  
Wi-Fi gratis

Desayuno

Piscina

Restaurante

Gimnasio

Libre de humo
 ",3.7,772.0,Hotel de 2 estrellas,,,,,Comuna Buenos Aires Hoteles,315 4113253 ,"Cra. 45 #45-25, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2448953,-75.5666682
117,Hotel Zona 45,"Reseñas
5
4
3
2
1
4,4
44 reseñas
  
Escribir una reseña
  

Ordenar
Todas
cómodas
4",4.4,44.0,,,,,,Comuna Buenos Aires Hoteles,318 2142760 ,"Cra. 45 #49-69, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2475748,-75.5645103
118,El Redondel (Buenos Aires),"Información  Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.2,181.0,,Parque,,"6 .,None",,Comuna Buenos Aires Parques,,"a 31-69, Cl. 47a #31-31, Medellín, Antioquia",6.2400909,-75.5546289
119,Parque La Milagrosa,"Información  Plaza urbana con instalaciones de futsal y baloncesto, llamativas obras de arte moderno y equipo para jugar.
    Accesibilidad

Entrada accesible para personas en silla de ruedas
    Servicios

Cancha de básquetbol

Cancha de voleibol

Columpios
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.4,9379.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Buenos Aires Parques,,"Cl. 43, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2355461,-75.5552007
120,Parque norte,"Información  Menores

Ideal para ir con niños",,,,Parque,,"6 .,3 pm.",,Comuna Buenos Aires Parques,,"Cl. 47 #2947, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2388741,-75.5533535
121,Parque La Milagrosa,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.4,25.0,,Parque,Accesible con silla de ruedas,"9 .,9 .",,Comuna Buenos Aires Parques,,"a 29-56, Cl. 41 #29-2, Medellín, Antioquia",6.2352291,-75.555819
122,Parque - Santo Francisco,"Información  Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.0,1.0,,Parque,,"6 .,9 .",,Comuna Buenos Aires Parques,,"Cl. 32 #30146, Medellín, Buenos Aires, Medellín, Antioquia",6.2300025,-75.5607924
123,Cancha Los Cerros,"Información  Actividades

Senderismo
    Servicios

Cancha de básquetbol

Columpios
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Parque para perros

Se permiten perros",4.2,643.0,,Parque,,"6 .,None",,Comuna Buenos Aires Parques,,"Cra. 18 #4873 #48- a, El Vergel, Medellín, Buenos Aires, Medellín, Antioquia",6.236019,-75.5463445
124,Parque cataluña,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Menores

Ideal para ir con niños
    Mascotas

Se permiten perros",4.3,115.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Buenos Aires Parques,,"Cataluña, Medellín, Buenos Aires, Medellín, Antioquia",6.2299117,-75.5531512
125,Parque del consejo,"Información  Menores

Ideal para ir con niños",4.0,1.0,,Parque,,"6 .,None",,Comuna Buenos Aires Parques,,"Cl. 45D #14c-2, Bombona II, Medellín, Buenos Aires, Medellín, Antioquia",6.2317778,-75.5433551
126,Parque lineal,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Actividades

Senderismo
    Servicios

Cancha de básquetbol

Columpios
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Se permiten perros",4.3,159.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Buenos Aires Parques,,"#16c- a 16c-, Cl. 45 #2473, Medellín, Antioquia",6.2332484,-75.5463367
